Country,Institution,Year,Regulation,Type of Regulation,,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bangladesh,Bangladesh Telecommunication Regulatory Commission,2004,Interconnection Regulations,Interoperability,,Interconnection Regulations,,,,,,,,,,,,,
Bangladesh,Bangladesh Bank,2011,Amendment of Guidelines on Mobile Financial Services for the Banks,KYC Requirements,,,,,,,,,Amendment of Guidelines on Mobile Financial Services for the Banks,,,,,,
Bangladesh,Bangladesh Bank,2011,Amendment of Guidelines on Mobile Financial Services for the Banks,Interoperability,,,,,,,,,Amendment of Guidelines on Mobile Financial Services for the Banks,,,,,,
Bangladesh,Bangladesh Bank,2011,Amendment of Guidelines on Mobile Financial Services for the Banks,Agent Selection,,,,,,,,,Amendment of Guidelines on Mobile Financial Services for the Banks,,,,,,
Bangladesh,Bangladesh Bank,2011,Amendment of Guidelines on Mobile Financial Services for the Banks,Agent Services,,,,,,,,,Amendment of Guidelines on Mobile Financial Services for the Banks,,,,,,
Bangladesh,Bangladesh Bank,2011,Amendment of Guidelines on Mobile Financial Services for the Banks,Reporting Requirements,,,,,,,,,Amendment of Guidelines on Mobile Financial Services for the Banks,,,,,,
Bangladesh,Bangladesh Bank,2011,Guidelines on Mobile Financial Services (MFS) for the Banks,KYC Requirements,,,,,,,,,Guidelines on Mobile Financial Services (MFS) for the Banks,,,,,,
Bangladesh,Bangladesh Bank,2011,Guidelines on Mobile Financial Services (MFS) for the Banks,Caps and Fees,,,,,,,,,Guidelines on Mobile Financial Services (MFS) for the Banks,,,,,,
Bangladesh,Bangladesh Bank,2011,Guidelines on Mobile Financial Services (MFS) for the Banks,Interoperability,,,,,,,,,Guidelines on Mobile Financial Services (MFS) for the Banks,,,,,,
Bangladesh,Bangladesh Bank,2011,Guidelines on Mobile Financial Services (MFS) for the Banks,Agent Selection,,,,,,,,,Guidelines on Mobile Financial Services (MFS) for the Banks,,,,,,
Bangladesh,Bangladesh Bank,2011,Guidelines on Mobile Financial Services (MFS) for the Banks,Reporting Requirements,,,,,,,,,Guidelines on Mobile Financial Services (MFS) for the Banks,,,,,,
Bangladesh,Bangladesh Bank,2013,Guidance Note for Approval and Operation of Agent Banking Activities of Banks,KYC Requirements,,,,,,,,,,,Guidance Note for Approval and Operation of Agent Banking Activities of Banks,,,,
Bangladesh,Bangladesh Bank,2013,Guidance Note for Approval and Operation of Agent Banking Activities of Banks,Caps and Fees,,,,,,,,,,,Guidance Note for Approval and Operation of Agent Banking Activities of Banks,,,,
Bangladesh,Bangladesh Bank,2013,Guidance Note for Approval and Operation of Agent Banking Activities of Banks,Agent Selection,,,,,,,,,,,Guidance Note for Approval and Operation of Agent Banking Activities of Banks,,,,
Bangladesh,Bangladesh Bank,2013,Guidance Note for Approval and Operation of Agent Banking Activities of Banks,Agent Services,,,,,,,,,,,Guidance Note for Approval and Operation of Agent Banking Activities of Banks,,,,
Bangladesh,Bangladesh Bank,2013,Guidance Note for Approval and Operation of Agent Banking Activities of Banks,Reporting Requirements,,,,,,,,,,,Guidance Note for Approval and Operation of Agent Banking Activities of Banks,,,,
Bangladesh,Bangladesh Bank,2013,Guidelines on Agent Banking for the Banks,KYC Requirements,,,,,,,,,,,Guidelines on Agent Banking for the Banks,,,,
Bangladesh,Bangladesh Bank,2013,Guidelines on Agent Banking for the Banks,Caps and Fees,,,,,,,,,,,Guidelines on Agent Banking for the Banks,,,,
Bangladesh,Bangladesh Bank,2013,Guidelines on Agent Banking for the Banks,Agent Selection,,,,,,,,,,,Guidelines on Agent Banking for the Banks,,,,
Bangladesh,Bangladesh Bank,2013,Guidelines on Agent Banking for the Banks,Agent Services,,,,,,,,,,,Guidelines on Agent Banking for the Banks,,,,
Bangladesh,Bangladesh Bank,2013,Guidelines on Agent Banking for the Banks,Reporting Requirements,,,,,,,,,,,Guidelines on Agent Banking for the Banks,,,,
Bangladesh,Bangladesh Bank,2015,Regulatory Guidelines for Mobile Financial Services (MFS) in Bangladesh,KYC Requirements,,,,,,,,,,,,,Regulatory Guidelines for Mobile Financial Services (MFS) in Bangladesh,,
Bangladesh,Bangladesh Bank,2015,Regulatory Guidelines for Mobile Financial Services (MFS) in Bangladesh,Caps and Fees,,,,,,,,,,,,,Regulatory Guidelines for Mobile Financial Services (MFS) in Bangladesh,,
Bangladesh,Bangladesh Bank,2015,Regulatory Guidelines for Mobile Financial Services (MFS) in Bangladesh,Interoperability,,,,,,,,,,,,,Regulatory Guidelines for Mobile Financial Services (MFS) in Bangladesh,,
Bangladesh,Bangladesh Bank,2015,Regulatory Guidelines for Mobile Financial Services (MFS) in Bangladesh,Agent Selection,,,,,,,,,,,,,Regulatory Guidelines for Mobile Financial Services (MFS) in Bangladesh,,
Bangladesh,Bangladesh Bank,2015,Regulatory Guidelines for Mobile Financial Services (MFS) in Bangladesh,Agent Services,,,,,,,,,,,,,Regulatory Guidelines for Mobile Financial Services (MFS) in Bangladesh,,
Bangladesh,Bangladesh Bank,2015,Regulatory Guidelines for Mobile Financial Services (MFS) in Bangladesh,Reporting Requirements,,,,,,,,,,,,,Regulatory Guidelines for Mobile Financial Services (MFS) in Bangladesh,,
Bangladesh,Bangladesh Bank,2017,Prudential Guidelines for Agent Banking Operation in Bangladesh,KYC Requirements,,,,,,,,,,,,,,,Prudential Guidelines for Agent Banking Operation in Bangladesh
Bangladesh,Bangladesh Bank,2017,Prudential Guidelines for Agent Banking Operation in Bangladesh,Caps and Fees,,,,,,,,,,,,,,,Prudential Guidelines for Agent Banking Operation in Bangladesh
Bangladesh,Bangladesh Bank,2017,Prudential Guidelines for Agent Banking Operation in Bangladesh,Interoperability,,,,,,,,,,,,,,,Prudential Guidelines for Agent Banking Operation in Bangladesh
Bangladesh,Bangladesh Bank,2017,Prudential Guidelines for Agent Banking Operation in Bangladesh,Agent Selection,,,,,,,,,,,,,,,Prudential Guidelines for Agent Banking Operation in Bangladesh
Bangladesh,Bangladesh Bank,2017,Prudential Guidelines for Agent Banking Operation in Bangladesh,Agent Services,,,,,,,,,,,,,,,Prudential Guidelines for Agent Banking Operation in Bangladesh
Bangladesh,Bangladesh Bank,2017,Prudential Guidelines for Agent Banking Operation in Bangladesh,Reporting Requirements,,,,,,,,,,,,,,,Prudential Guidelines for Agent Banking Operation in Bangladesh
India,Reserve Bank of India,2010,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),KYC Requirements,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,,,,,
India,Reserve Bank of India,2010,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),Caps and Fees,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,,,,,
India,Reserve Bank of India,2010,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),Interoperability,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,,,,,
India,Reserve Bank of India,2010,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),Agent Selection,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,,,,,
India,Reserve Bank of India,2010,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),Reporting Requirements,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,,,,,
India,Reserve Bank of India,2012,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),KYC Requirements,,,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,,,
India,Reserve Bank of India,2012,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),Caps and Fees,,,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,,,
India,Reserve Bank of India,2012,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),Interoperability,,,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,,,
India,Reserve Bank of India,2012,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),Agent Selection,,,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,,,
India,Reserve Bank of India,2012,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),Reporting Requirements,,,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,,,
India,Telecom Regulatory Authority of India,2012,The Mobile Banking (Quality of Service) Regulations,KYC Requirements,,,,,,,,,,The Mobile Banking (Quality of Service) Regulations,,,,,
India,Telecom Regulatory Authority of India,2012,The Mobile Banking (Quality of Service) Regulations,Interoperability,,,,,,,,,,The Mobile Banking (Quality of Service) Regulations,,,,,
India,Telecom Regulatory Authority of India,2012,The Mobile Banking (Quality of Service) Regulations,Agent Selection,,,,,,,,,,The Mobile Banking (Quality of Service) Regulations,,,,,
India,Telecom Regulatory Authority of India,2013,The Mobile Banking (Quality of Service) Regulations,KYC Requirements,,,,,,,,,,,The Mobile Banking (Quality of Service) Regulations,,,,
India,Telecom Regulatory Authority of India,2013,The Mobile Banking (Quality of Service) Regulations,Interoperability,,,,,,,,,,,The Mobile Banking (Quality of Service) Regulations,,,,
India,Telecom Regulatory Authority of India,2013,The Mobile Banking (Quality of Service) Regulations,Agent Selection,,,,,,,,,,,The Mobile Banking (Quality of Service) Regulations,,,,
India,Reserve Bank of India,2014,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),KYC Requirements,,,,,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,
India,Reserve Bank of India,2014,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),Caps and Fees,,,,,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,
India,Reserve Bank of India,2014,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),Interoperability,,,,,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,
India,Reserve Bank of India,2014,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),Agent Selection,,,,,,,,,,,, Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,
India,Reserve Bank of India,2014,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),Reporting Requirements,,,,,,,,,,,,Financial Inclusion by Extension of Banking Services ? Use of Business Correspondents (BCs),,,
India,Reserve Bank of India,2014,Guidelines for Licensing of Payments Banks,KYC Requirements,,,,,,,,,,,,Guidelines for Licensing of ?Payments Banks?,,,
India,Reserve Bank of India,2014,Guidelines for Licensing of Payments Banks,Caps and Fees,,,,,,,,,,,,Guidelines for Licensing of ?Payments Banks?,,,
India,Reserve Bank of India,2014,Guidelines for Licensing of Payments Banks,Interoperability,,,,,,,,,,,,Guidelines for Licensing of ?Payments Banks?,,,
India,Reserve Bank of India,2014,Guidelines for Licensing of Payments Banks,Agent Selection,,,,,,,,,,,,Guidelines for Licensing of ?Payments Banks?,,,
India,Reserve Bank of India,2014,Guidelines for Licensing of Payments Banks,Agent Services,,,,,,,,,,,,Guidelines for Licensing of ?Payments Banks?,,,
India,Reserve Bank of India,2014,Guidelines for Licensing of Payments Banks,Reporting Requirements,,,,,,,,,,,,Guidelines for Licensing of ?Payments Banks?,,,
India,Reserve Bank of India,2014,RBI?s Recent simplified KYC Measures For Public Awareness,KYC Requirements,,,,,,,,,,,,RBI?s Recent simplified KYC Measures For Public Awareness,,,
India,Reserve Bank of India,2016,Master Circular ? Mobile Banking transactions in India ? Operative Guidelines for Banks,KYC Requirements,,,,,,,,,,,,,,Master Circular ? Mobile Banking transactions in India ? Operative Guidelines for Banks,
India,Reserve Bank of India,2016,Master Circular ? Mobile Banking transactions in India ? Operative Guidelines for Banks,Caps and Fees,,,,,,,,,,,,,,Master Circular ? Mobile Banking transactions in India ? Operative Guidelines for Banks,
India,Reserve Bank of India,2016,Master Circular ? Mobile Banking transactions in India ? Operative Guidelines for Banks,Interoperability,,,,,,,,,,,,,,Master Circular ? Mobile Banking transactions in India ? Operative Guidelines for Banks,
India,Reserve Bank of India,2016,Master Circular ? Mobile Banking transactions in India ? Operative Guidelines for Banks,Agent Selection,,,,,,,,,,,,,,Master Circular ? Mobile Banking transactions in India ? Operative Guidelines for Banks,
India,Reserve Bank of India,2016,Master Circular ? Mobile Banking transactions in India ? Operative Guidelines for Banks,Reporting Requirements,,,,,,,,,,,,,,Master Circular ? Mobile Banking transactions in India ? Operative Guidelines for Banks,
India,Telecom Regulatory Authority of India,2016,The Mobile Banking (Quality of Service) Regulations,KYC Requirements,,,,,,,,,,,,,,The Mobile Banking (Quality of Service) Regulations,
India,Telecom Regulatory Authority of India,2016,The Mobile Banking (Quality of Service) Regulations,Interoperability,,,,,,,,,,,,,,The Mobile Banking (Quality of Service) Regulations,
India,Telecom Regulatory Authority of India,2016,The Mobile Banking (Quality of Service) Regulations,Agent Selection,,,,,,,,,,,,,,The Mobile Banking (Quality of Service) Regulations,
Indonesia,Bank Indonesia,2009,Bank Indonesia Regulation Number: 11/12/PBI/2009 Concerning Electronic Money,KYC Requirements,,,,,,,Bank Indonesia number 11/12/PBI/2009 Electronic money,,,,,,,,
Indonesia,Bank Indonesia,2009,Bank Indonesia Regulation Number: 11/12/PBI/2009 Concerning Electronic Money,Interoperability,,,,,,,Bank Indonesia number 11/12/PBI/2009 Electronic money,,,,,,,,
Indonesia,Bank Indonesia,2009,Bank Indonesia Regulation Number: 11/12/PBI/2009 Concerning Electronic Money,Reporting Requirements,,,,,,,Bank Indonesia number 11/12/PBI/2009 Electronic money,,,,,,,,
Indonesia,Bank Indonesia,2009,Circular No. 11/11/DASP Concerning Electronic Money,KYC Requirements,,,,,,,Circular No. 11/11/DASP Concerning Electronic Money,,,,,,,,
Indonesia,Bank Indonesia,2009,Circular No. 11/11/DASP Concerning Electronic Money,Caps and Fees,,,,,,,Circular No. 11/11/DASP Concerning Electronic Money,,,,,,,,
Indonesia,Bank Indonesia,2009,Circular No. 11/11/DASP Concerning Electronic Money,Agent Selection,,,,,,,Circular No. 11/11/DASP Concerning Electronic Money,,,,,,,,
Indonesia,Bank Indonesia,2017,Bank Indonesia Regulation Number: 19/10/PBI/2017 Concerning Implementation of Anti-Money Laundering and Prevention of Terrorism Financing for Non-Bank Payment System Service Provider and Non-Bank Money Changing Service Provider,KYC Requirements,,,,,,,,,,,,,,,Bank Indonesia Regulation Number: 19/10/PBI/2017 Concerning Implementation of Anti-Money Laundering and Prevention of Terrorism Financing for Non-Bank Payment System Service Provider and Non-Bank Money Changing Service Provider
Indonesia,Bank Indonesia,2017,Bank Indonesia Regulation Number: 19/10/PBI/2017 Concerning Implementation of Anti-Money Laundering and Prevention of Terrorism Financing for Non-Bank Payment System Service Provider and Non-Bank Money Changing Service Provider,Agent Selection,,,,,,,,,,,,,,,Bank Indonesia Regulation Number: 19/10/PBI/2017 Concerning Implementation of Anti-Money Laundering and Prevention of Terrorism Financing for Non-Bank Payment System Service Provider and Non-Bank Money Changing Service Provider
Indonesia,Bank Indonesia,2017,Bank Indonesia Regulation Number: 19/10/PBI/2017 Concerning Implementation of Anti-Money Laundering and Prevention of Terrorism Financing for Non-Bank Payment System Service Provider and Non-Bank Money Changing Service Provider,Reporting Requirements,,,,,,,,,,,,,,,Bank Indonesia Regulation Number: 19/10/PBI/2017 Concerning Implementation of Anti-Money Laundering and Prevention of Terrorism Financing for Non-Bank Payment System Service Provider and Non-Bank Money Changing Service Provider
Kenya,Central Bank of Kenya,2010,Guidelines on Agent Banking,KYC Requirements,,,,,,,,Guidelines on Agent Banking,,,,,,,
Kenya,Central Bank of Kenya,2010,Guidelines on Agent Banking,Caps and Fees,,,,,,,,Guidelines on Agent Banking,,,,,,,
Kenya,Central Bank of Kenya,2010,Guidelines on Agent Banking,Agent Selection,,,,,,,,Guidelines on Agent Banking,,,,,,,
Kenya,Central Bank of Kenya,2010,Guidelines on Agent Banking,Agent Services,,,,,,,,Guidelines on Agent Banking,,,,,,,
Kenya,Central Bank of Kenya,2010,Guidelines on Agent Banking,Reporting Requirements,,,,,,,,Guidelines on Agent Banking,,,,,,,
Kenya,Central Bank of Kenya,2013,E-Money Regulation,Agent Selection,,,,,,,,,,,E-Money Regulation,,,,
Kenya,Central Bank of Kenya,2013,E-Money Regulation,Reporting Requirements,,,,,,,,,,,E-Money Regulation,,,,
Kenya,Central Bank of Kenya,2013,"The National Payment System Regulations, 2013",Interoperability,,,,,,,,,,,"The National Payment System Regulations, 2013",,,,
Kenya,Central Bank of Kenya,2013,"The National Payment System Regulations, 2013",Agent Selection,,,,,,,,,,,"The National Payment System Regulations, 2013",,,,
Kenya,Central Bank of Kenya,2013,"The National Payment System Regulations, 2013",Agent Services,,,,,,,,,,,"The National Payment System Regulations, 2013",,,,
Kenya,Central Bank of Kenya,2013,"The National Payment System Regulations, 2013",Reporting Requirements,,,,,,,,,,,"The National Payment System Regulations, 2013",,,,
Kenya,Central Bank of Kenya,2013,Prudential Guidelines for Institutions Licensed Under the Banking Act,KYC Requirements,,,,,,,,,,,Prudential Guidelines for Institutions Licensed Under the Banking Act,,,,
Kenya,Central Bank of Kenya,2013,Prudential Guidelines for Institutions Licensed Under the Banking Act,Agent Selection,,,,,,,,,,,Prudential Guidelines for Institutions Licensed Under the Banking Act,,,,
Kenya,Central Bank of Kenya,2013,Prudential Guidelines for Institutions Licensed Under the Banking Act,Agent Services,,,,,,,,,,,Prudential Guidelines for Institutions Licensed Under the Banking Act,,,,
Kenya,Central Bank of Kenya,2013,Prudential Guidelines for Institutions Licensed Under the Banking Act,Reporting Requirements,,,,,,,,,,,Prudential Guidelines for Institutions Licensed Under the Banking Act,,,,
Kenya,Central Bank of Kenya,2014,"The National Payment System Regulations, 2014",KYC Requirements,,,,,,,,,,,,"The National Payment System Regulations, 2014",,,
Kenya,Central Bank of Kenya,2014,"The National Payment System Regulations, 2014",Caps and Fees,,,,,,,,,,,,"The National Payment System Regulations, 2014",,,
Kenya,Central Bank of Kenya,2014,"The National Payment System Regulations, 2014",Interoperability,,,,,,,,,,,,"The National Payment System Regulations, 2014",,,
Kenya,Central Bank of Kenya,2014,"The National Payment System Regulations, 2014",Agent Selection,,,,,,,,,,,,"The National Payment System Regulations, 2014",,,
Kenya,Central Bank of Kenya,2014,"The National Payment System Regulations, 2014",Reporting Requirements,,,,,,,,,,,,"The National Payment System Regulations, 2014",,,
